District,Crop,Season,Year,Rainfall_mm,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Soil_pH,Organic_Carbon_Percent,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Percent,Fertilizer_N_kg_ha,Fertilizer_P_kg_ha,Fertilizer_K_kg_ha,Seed_Quality,Farm_Size_ha,Mechanization,Yield_kg_ha
Dhenkanal,Paddy,Kharif,2020,1046.1,32.0,22.3,86.6,6.09,0.652,182.9,41.6,142.8,7.4,128.0,66.9,48.1,Medium,2.87,High,3295.0
Cuttack,Paddy,Kharif,2019,977.1,31.1,19.8,82.7,6.08,0.65,170.5,18.6,133.7,57.3,154.6,53.0,33.5,Medium,0.29,Medium,3136.0
Jagatsinghpur,Paddy,Kharif,2022,1138.8,33.6,23.9,60.6,6.84,0.365,187.7,31.5,189.4,12.9,123.9,66.3,28.3,Medium,2.14,Low,2804.0
Dhenkanal,Paddy,Kharif,2023,770.4,30.4,22.3,88.2,6.51,0.672,183.0,20.4,112.1,15.5,131.5,56.5,44.5,High,0.45,Low,2719.0
Ganjam,Paddy,Kharif,2023,1278.2,34.1,24.2,86.1,7.17,0.562,238.4,16.3,149.1,23.0,166.3,44.0,32.3,Medium,1.38,Low,2404.0
Angul,Maize,Rabi,2021,81.1,28.0,16.3,56.0,6.06,0.25,178.2,34.8,115.5,41.4,114.0,52.4,42.0,Medium,4.35,Low,2707.0
Jajpur,Paddy,Kharif,2021,1422.2,38.9,25.7,91.2,5.46,0.63,163.5,24.9,191.6,2.7,98.0,66.6,22.2,High,1.88,Medium,2611.0
Kendrapara,Paddy,Kharif,2021,860.4,37.6,25.1,81.1,5.84,0.755,176.9,33.1,160.6,2.9,164.1,74.0,50.1,High,0.11,Low,3354.0
Kendrapara,Paddy,Kharif,2023,1490.2,29.7,23.9,81.4,5.98,0.707,190.6,33.7,110.7,21.8,104.4,61.3,54.3,High,0.25,Low,2352.0
Baragarh,Paddy,Kharif,2020,1185.8,36.0,27.9,86.6,5.37,0.394,189.7,14.7,134.9,11.6,135.2,58.4,39.2,High,5.33,Low,1923.0
Puri,Paddy,Kharif,2023,1273.0,32.0,18.1,77.4,6.47,0.573,259.1,19.8,137.7,28.1,104.8,36.3,49.3,High,2.51,Medium,3441.0
Sambalpur,Paddy,Kharif,2019,923.4,32.8,20.1,80.2,5.75,0.2,223.1,9.1,169.7,68.7,127.4,37.2,32.3,Medium,2.46,Medium,1466.0
Mayurbhanj,Maize,Kharif,2022,1249.0,34.2,23.7,81.3,6.86,0.656,197.1,27.0,172.3,23.2,97.8,57.3,37.5,Medium,0.95,Medium,3308.0
Sambalpur,Paddy,Rabi,2021,305.0,29.1,21.2,67.2,5.87,0.495,196.5,26.6,193.7,70.3,128.5,64.0,36.0,Medium,0.35,Medium,3800.0
Dhenkanal,Maize,Rabi,2022,158.2,31.2,18.9,71.9,7.12,0.924,105.6,49.4,193.3,76.7,74.0,60.8,36.5,Medium,0.4,Low,2002.0
Dhenkanal,Maize,Kharif,2019,1222.7,28.9,24.7,69.1,7.12,0.457,241.8,29.9,122.2,34.7,143.4,76.3,38.9,Medium,2.17,Medium,4377.0
Balasore,Paddy,Kharif,2021,937.2,38.8,21.2,77.0,7.15,0.486,192.0,21.8,125.8,78.9,154.7,53.8,32.9,Low,5.15,Medium,2670.0
Balasore,Paddy,Rabi,2022,198.5,33.5,19.2,46.0,5.41,0.677,143.3,14.1,194.9,8.6,87.5,28.9,36.9,Low,0.75,Medium,1154.0
Keonjhar,Paddy,Kharif,2022,1375.0,35.3,24.7,67.3,6.36,0.58,170.8,26.9,163.0,45.9,145.7,46.0,34.0,Medium,1.7,High,4688.0
Mayurbhanj,Paddy,Kharif,2022,1262.6,34.1,22.0,78.2,5.88,0.473,193.6,23.0,145.8,48.1,132.3,58.8,31.7,Medium,4.53,Low,3642.0
Puri,Maize,Rabi,2019,170.4,28.8,19.8,72.6,7.58,0.347,197.0,17.7,92.4,7.2,150.1,54.3,41.8,Medium,6.55,High,1715.0
Kendrapara,Maize,Summer,2021,112.9,34.4,26.4,72.1,5.42,0.484,190.7,21.7,154.3,43.9,116.4,49.0,27.5,Medium,2.31,Low,2326.0
Mayurbhanj,Paddy,Kharif,2021,1266.1,29.5,25.1,81.6,7.18,0.795,166.7,24.4,152.6,35.7,65.1,42.1,46.1,Low,0.94,Low,2565.0
Dhenkanal,Maize,Kharif,2021,1048.4,33.6,23.0,76.5,4.5,0.363,161.4,21.2,178.6,43.2,133.7,44.4,50.0,Medium,2.61,Low,2019.0
Angul,Maize,Kharif,2019,1231.2,34.8,22.9,69.0,6.59,0.523,174.4,19.0,60.2,41.8,114.9,16.6,40.8,Low,2.01,Medium,1544.0
Ganjam,Maize,Kharif,2019,1265.2,29.4,24.0,78.3,4.5,0.53,141.8,7.1,148.0,25.4,124.5,18.7,38.8,Medium,3.84,High,1500.0
Mayurbhanj,Maize,Kharif,2018,1479.4,30.6,22.6,74.5,6.84,0.794,164.1,25.6,112.5,42.5,132.9,46.1,58.0,Low,1.91,Low,3114.0
Sambalpur,Paddy,Kharif,2022,1425.8,30.7,25.3,61.5,4.78,0.544,219.9,28.3,149.4,24.3,135.6,87.3,47.0,Medium,2.42,Low,2628.0
Sambalpur,Paddy,Kharif,2022,1395.2,29.6,24.7,78.3,6.75,0.262,206.9,37.8,83.4,16.2,142.3,63.4,57.6,Medium,0.71,Low,2164.0
Koraput,Maize,Rabi,2023,258.4,32.8,18.2,71.7,5.34,0.48,157.5,33.3,210.5,11.6,158.2,45.6,33.8,Medium,7.76,High,2930.0
Ganjam,Paddy,Rabi,2023,198.1,27.7,17.8,63.2,4.62,0.829,131.7,20.4,192.1,58.5,145.7,65.0,36.8,Medium,2.74,Low,2146.0
Koraput,Paddy,Rabi,2020,296.2,27.8,15.0,67.0,7.11,0.538,199.1,20.9,118.0,60.1,116.4,71.6,27.0,Medium,0.91,Low,2268.0
Balasore,Paddy,Kharif,2021,1162.7,30.1,20.8,75.5,6.94,0.467,202.6,13.4,199.6,66.1,108.2,67.7,51.5,Low,3.95,Low,1909.0
Ganjam,Paddy,Summer,2019,67.0,34.5,24.4,61.9,5.73,0.818,272.3,22.8,245.2,25.5,79.8,57.1,57.6,High,0.44,High,3036.0
Cuttack,Maize,Rabi,2023,230.5,28.1,19.0,64.0,6.03,0.398,251.5,16.8,160.5,25.5,106.2,50.8,43.3,Medium,3.91,Medium,2024.0
Angul,Paddy,Kharif,2023,1061.1,34.1,26.1,75.5,5.65,0.791,252.9,31.7,193.5,28.0,140.7,70.4,44.6,Medium,1.53,Medium,4535.0
Khordha,Paddy,Kharif,2018,1370.0,25.9,24.0,80.8,6.5,0.43,222.4,27.8,134.6,41.0,155.0,58.8,40.4,High,0.98,High,4442.0
Angul,Maize,Kharif,2019,993.1,32.3,24.9,81.0,5.65,0.371,197.9,28.3,188.6,19.0,115.3,34.4,34.8,Medium,2.82,Medium,4401.0
Cuttack,Maize,Kharif,2022,1385.3,34.6,21.0,82.6,5.23,0.726,225.4,12.3,185.4,8.8,110.7,57.2,34.6,Medium,1.7,Medium,1699.0
Kendrapara,Paddy,Rabi,2021,208.1,25.0,17.6,53.7,6.77,0.516,107.1,27.7,123.9,22.9,158.0,79.4,47.0,High,0.21,High,2882.0
Jajpur,Paddy,Kharif,2021,1086.7,30.6,23.1,71.3,5.97,0.703,191.9,28.8,183.4,64.5,103.1,82.5,28.2,Medium,0.15,Medium,4990.0
Koraput,Paddy,Kharif,2020,1330.1,32.4,25.4,80.7,6.7,0.605,152.7,12.0,193.4,31.7,148.8,57.7,47.0,Medium,0.77,Medium,1642.0
Keonjhar,Paddy,Kharif,2018,1113.9,30.1,21.1,81.8,6.72,0.634,168.6,23.8,104.8,34.4,89.4,55.5,46.3,Medium,3.27,High,2476.0
Angul,Paddy,Rabi,2019,159.7,25.0,17.9,70.1,6.72,0.368,132.1,20.9,182.3,28.9,125.2,76.3,39.0,Medium,1.81,Medium,2131.0
Dhenkanal,Paddy,Rabi,2021,184.5,30.8,15.0,57.4,6.26,0.645,219.4,22.4,118.3,24.1,61.9,46.8,34.4,Low,1.85,Medium,1871.0
Koraput,Paddy,Kharif,2021,1067.8,25.0,22.0,73.4,5.6,0.453,117.7,27.2,150.0,3.0,117.1,56.2,43.7,Medium,0.54,Low,1887.0
Keonjhar,Maize,Kharif,2020,1315.3,32.6,26.0,79.5,6.03,0.537,125.3,22.7,172.7,35.8,117.3,40.0,44.7,High,2.32,Medium,3892.0
Balasore,Paddy,Kharif,2022,1400.2,34.5,23.5,93.8,5.52,0.583,232.3,33.1,242.5,59.3,122.5,47.4,41.2,Medium,6.9,High,5662.0
Baragarh,Paddy,Rabi,2019,226.5,25.0,16.0,62.7,5.13,0.278,138.8,28.1,153.6,29.8,116.4,64.7,52.4,Medium,1.54,Medium,1980.0
Angul,Paddy,Rabi,2019,230.9,32.2,17.7,59.3,5.3,0.717,183.2,26.0,99.5,15.5,195.3,61.0,38.3,Medium,0.15,Medium,1859.0
Mayurbhanj,Maize,Rabi,2018,120.2,26.7,18.2,52.9,5.83,0.406,164.2,25.6,174.5,26.8,112.8,59.3,44.9,Medium,1.31,Medium,3696.0
Dhenkanal,Maize,Summer,2019,142.8,43.5,25.5,50.6,5.72,0.396,185.8,26.5,76.4,24.4,100.7,49.6,35.6,Medium,1.33,Medium,1500.0
Jagatsinghpur,Paddy,Kharif,2022,916.8,30.9,23.3,73.4,5.56,0.528,137.0,18.0,131.9,51.4,131.4,69.5,40.6,Medium,1.5,High,2592.0
Dhenkanal,Paddy,Kharif,2021,1676.3,34.7,23.9,75.6,7.06,0.478,202.9,25.9,156.7,73.0,120.3,56.9,30.7,Medium,0.69,Medium,5265.0
Puri,Maize,Rabi,2019,214.8,26.7,16.2,63.1,6.18,0.413,192.7,15.5,64.7,40.4,125.0,63.4,49.0,High,4.66,Low,1500.0
Keonjhar,Paddy,Summer,2022,104.4,40.2,25.6,53.5,6.77,0.827,183.9,15.4,152.2,81.1,162.6,57.9,30.6,Medium,1.58,Low,1831.0
Balasore,Paddy,Kharif,2018,986.3,30.2,27.0,64.0,5.95,0.351,198.4,33.5,164.5,34.8,104.9,41.5,32.5,Low,2.08,Medium,2773.0
Kendrapara,Maize,Kharif,2018,1161.1,32.4,25.6,84.0,6.82,0.495,183.6,12.6,113.7,58.3,118.4,65.5,18.6,Low,0.88,High,2211.0
Jajpur,Paddy,Rabi,2023,230.9,30.9,19.2,77.3,6.99,0.651,221.5,32.9,137.8,40.8,117.4,87.6,34.5,Medium,4.15,Medium,3209.0
Sambalpur,Paddy,Kharif,2020,1096.1,34.4,18.1,80.8,7.11,0.273,186.4,21.9,156.8,76.3,61.5,68.6,56.3,Low,0.64,Low,2766.0
Dhenkanal,Paddy,Summer,2021,115.4,38.9,26.9,46.4,5.0,0.394,145.9,8.7,166.6,21.5,90.8,38.0,45.4,High,1.45,Medium,1051.0
Angul,Paddy,Rabi,2019,277.1,28.3,18.0,54.0,8.0,0.436,213.0,18.7,111.3,40.4,82.4,69.9,46.5,Medium,1.94,Low,1920.0
Mayurbhanj,Paddy,Kharif,2018,1102.8,32.3,21.9,95.0,5.28,0.53,169.6,33.6,152.4,5.0,110.8,57.0,43.4,Medium,3.76,Low,2678.0
Mayurbhanj,Maize,Rabi,2018,211.0,30.1,15.0,68.3,7.03,0.44,178.2,30.1,133.6,58.0,121.9,67.8,33.5,High,0.05,Medium,3628.0
Keonjhar,Paddy,Kharif,2022,1230.7,33.7,20.7,78.5,5.5,0.544,119.9,29.7,111.5,15.1,82.3,56.9,35.3,Medium,0.38,Medium,2390.0
Baragarh,Paddy,Summer,2023,84.4,43.8,29.6,53.3,5.31,0.689,157.8,42.1,123.8,51.9,109.8,66.0,43.3,High,1.78,Low,1764.0
Puri,Maize,Kharif,2023,1171.3,33.6,23.4,76.4,6.21,0.748,268.4,25.4,118.4,1.3,127.5,61.3,23.1,Low,0.28,Medium,2416.0
Ganjam,Paddy,Rabi,2020,198.2,27.1,17.4,69.9,6.62,0.697,191.3,31.4,201.4,11.5,139.2,57.4,38.1,Medium,0.77,Low,2307.0
Jagatsinghpur,Maize,Kharif,2019,1577.5,33.8,26.0,73.8,5.6,0.443,187.9,20.9,131.2,9.3,123.3,46.6,53.5,Medium,0.78,Medium,3370.0
Khordha,Paddy,Kharif,2019,1352.8,35.6,23.7,70.8,6.13,0.376,193.1,19.3,95.8,74.6,138.0,64.9,26.3,Medium,0.91,Medium,2822.0
Khordha,Maize,Kharif,2023,1262.7,33.7,24.2,76.4,6.36,0.494,153.2,21.9,132.4,79.3,124.7,58.9,32.2,Medium,0.06,Medium,3697.0
Mayurbhanj,Paddy,Kharif,2021,997.5,35.0,24.9,76.0,6.41,0.518,240.4,26.8,144.2,8.5,128.3,28.6,31.5,Medium,5.98,High,2860.0
Sambalpur,Paddy,Summer,2019,78.5,35.5,18.8,42.3,6.64,0.763,180.4,19.1,160.4,26.0,190.5,44.5,20.6,Medium,0.93,Medium,2130.0
Sambalpur,Maize,Rabi,2022,207.3,27.5,15.4,59.3,5.32,0.507,169.6,27.2,106.2,34.4,161.7,56.4,48.7,Medium,1.71,Medium,2112.0
Puri,Paddy,Kharif,2018,1265.3,32.7,24.0,80.8,5.25,0.728,159.9,24.7,140.6,43.3,136.1,78.0,59.5,High,0.38,Low,3671.0
Puri,Paddy,Summer,2020,93.4,41.5,25.7,64.5,6.39,0.528,190.4,24.6,143.3,50.7,133.0,57.2,46.9,Medium,2.93,Medium,2666.0
Kendrapara,Paddy,Kharif,2022,1381.1,34.7,23.2,78.1,6.6,0.408,158.7,31.6,98.2,29.5,131.4,67.4,36.3,Medium,5.03,Medium,2293.0
Sambalpur,Paddy,Rabi,2023,169.2,25.0,15.0,68.2,4.5,0.842,155.1,10.6,168.3,48.1,151.7,58.7,50.8,Medium,1.34,Medium,1241.0
Khordha,Paddy,Rabi,2022,239.4,27.1,17.4,68.7,6.43,0.692,120.3,22.3,109.8,13.6,119.4,60.7,30.3,Medium,2.54,Low,1959.0
Kendrapara,Paddy,Kharif,2023,1225.4,28.7,28.1,77.1,6.26,0.509,166.3,30.5,106.2,10.4,93.4,51.5,56.7,Medium,0.46,Medium,2561.0
Dhenkanal,Paddy,Rabi,2020,206.2,25.0,20.6,56.8,6.24,0.342,267.0,26.6,114.7,66.0,115.2,46.6,19.4,Low,5.13,High,2053.0
Khordha,Paddy,Summer,2020,100.7,33.7,19.3,53.6,6.33,0.822,254.4,19.7,178.3,17.2,116.4,72.6,51.0,High,1.68,High,2748.0
Puri,Paddy,Rabi,2022,152.6,25.4,16.6,54.4,6.43,0.634,174.5,26.4,142.0,62.8,196.7,80.9,33.4,Medium,3.31,Medium,2915.0
Puri,Maize,Summer,2018,68.7,36.0,29.2,59.5,5.52,0.348,211.2,23.1,174.4,31.1,170.6,65.6,19.6,Low,0.06,Medium,2440.0
Mayurbhanj,Paddy,Kharif,2023,1479.2,30.1,23.7,95.0,6.62,0.713,212.7,13.9,160.5,39.1,137.5,79.3,35.3,Medium,0.67,High,3018.0
Kendrapara,Maize,Kharif,2023,1186.7,32.8,22.9,77.9,6.14,0.591,141.0,19.4,197.2,27.8,154.5,64.5,33.9,Medium,2.48,Medium,2832.0
Ganjam,Maize,Kharif,2018,1081.9,27.7,26.9,77.3,5.04,0.415,154.2,25.2,118.1,40.6,115.6,46.3,32.3,Medium,1.15,Low,2768.0
Angul,Paddy,Rabi,2018,110.6,32.3,19.6,62.5,6.04,0.379,206.1,37.9,124.6,12.0,79.1,85.6,44.7,High,2.65,Medium,2244.0
Puri,Maize,Rabi,2018,199.6,25.0,15.5,57.0,6.04,0.569,122.3,20.3,133.5,18.1,136.8,69.0,39.0,Medium,4.48,High,2537.0
Keonjhar,Maize,Rabi,2022,218.2,25.0,16.7,44.2,7.22,0.438,177.0,20.9,107.4,52.1,131.6,61.9,37.6,High,5.91,Medium,2540.0
Sambalpur,Maize,Kharif,2020,1090.1,26.1,25.8,79.0,6.1,0.56,133.8,15.5,145.1,91.6,105.7,63.5,38.7,High,1.27,Medium,3129.0
Dhenkanal,Paddy,Kharif,2020,1653.0,28.5,22.8,65.8,5.84,0.545,151.2,14.2,146.7,54.6,121.0,39.0,49.8,High,4.68,Medium,2787.0
Keonjhar,Paddy,Summer,2022,54.6,40.9,26.4,72.5,6.22,0.291,129.4,19.0,210.9,71.6,81.8,39.6,26.0,Medium,3.22,Low,2048.0
Dhenkanal,Paddy,Rabi,2018,186.1,30.8,19.9,66.9,5.31,0.713,108.0,18.8,170.3,46.8,152.0,65.0,40.3,Medium,4.0,Low,2164.0
Jajpur,Paddy,Kharif,2018,1277.1,36.2,24.7,75.9,6.51,0.549,94.8,33.0,128.2,16.3,142.1,70.2,38.7,High,3.88,High,2652.0
Mayurbhanj,Paddy,Kharif,2019,1049.7,32.7,27.4,60.1,7.14,0.492,160.7,29.7,118.9,23.4,98.8,65.3,28.0,Low,0.06,Medium,2337.0
Mayurbhanj,Paddy,Rabi,2018,153.3,28.9,18.4,79.2,6.4,0.736,197.2,20.9,108.5,42.9,123.9,53.4,28.5,Low,0.5,High,2144.0
Koraput,Paddy,Kharif,2023,985.3,30.0,27.7,76.2,6.39,0.515,149.7,33.8,129.4,52.5,111.1,50.1,57.7,Medium,0.22,Low,3481.0
Mayurbhanj,Maize,Kharif,2019,857.5,29.4,25.8,78.2,6.11,0.482,163.8,34.5,158.4,39.5,128.6,72.6,35.0,Low,3.05,Medium,3787.0
Baragarh,Paddy,Kharif,2020,1028.9,25.0,24.1,88.8,6.78,0.704,199.1,27.4,116.9,47.0,155.4,44.1,36.9,Medium,0.95,Medium,2456.0
Jajpur,Maize,Kharif,2023,1412.4,32.4,22.0,88.2,6.54,0.433,177.6,32.3,125.2,69.0,170.2,53.5,21.2,High,0.29,Medium,5799.0
Baragarh,Paddy,Kharif,2018,1173.1,35.3,22.0,61.8,6.99,0.733,177.6,25.5,151.2,34.2,105.0,60.9,45.3,Medium,5.68,Medium,3761.0
Angul,Paddy,Rabi,2023,180.0,31.1,15.0,61.0,5.19,0.79,152.1,25.6,160.4,58.7,107.1,46.8,38.6,Medium,2.6,Medium,3118.0
Mayurbhanj,Paddy,Kharif,2021,1458.1,34.3,28.0,77.3,6.21,0.769,165.0,26.8,154.5,11.5,78.2,55.1,15.3,Medium,4.37,Medium,3024.0
Sambalpur,Paddy,Kharif,2019,1475.0,32.2,26.3,78.2,7.04,0.555,175.9,38.7,172.5,13.1,100.3,72.1,30.5,High,5.91,Medium,3457.0
Kendrapara,Paddy,Kharif,2022,1091.7,31.1,23.6,72.4,7.24,0.76,202.0,38.6,233.9,73.1,132.8,61.6,37.7,Medium,1.24,Medium,5721.0
Sambalpur,Maize,Kharif,2021,1118.5,32.6,25.8,93.9,5.78,0.634,231.4,28.0,116.4,46.6,137.2,54.1,39.2,Medium,0.97,Medium,3228.0
Ganjam,Paddy,Kharif,2023,1218.9,35.2,24.1,82.0,5.29,0.555,148.0,18.4,111.8,21.7,129.9,59.3,57.8,Medium,5.05,Low,2353.0
Balasore,Maize,Kharif,2019,1451.6,30.8,19.7,82.2,5.01,0.71,139.9,27.9,140.9,33.0,87.6,65.0,71.3,High,8.33,Medium,3893.0
Jajpur,Paddy,Rabi,2019,242.2,28.4,22.0,71.1,6.75,0.657,214.1,29.3,169.3,23.8,139.0,56.8,50.5,Medium,0.75,High,3775.0
Jagatsinghpur,Paddy,Kharif,2018,1523.0,28.9,26.8,90.7,7.77,0.575,143.1,30.5,144.0,41.5,118.2,56.7,45.3,Medium,0.6,Low,2429.0
Mayurbhanj,Paddy,Rabi,2018,202.5,28.2,18.8,65.2,6.26,0.326,164.4,28.3,188.7,64.7,134.0,66.3,45.3,Low,3.71,High,3416.0
Balasore,Paddy,Kharif,2021,1033.1,29.0,25.0,61.6,7.46,0.826,195.8,24.5,112.4,31.8,156.7,52.1,54.3,High,4.81,Medium,3197.0
Dhenkanal,Paddy,Kharif,2022,1224.8,31.2,20.8,95.0,5.48,0.61,208.9,23.0,121.7,12.8,68.4,61.3,39.1,Low,4.94,Low,1962.0
Dhenkanal,Paddy,Kharif,2023,1197.1,31.6,20.9,80.4,6.55,0.552,194.4,21.7,77.2,28.1,102.3,66.6,47.0,Low,0.51,High,1917.0
Kendrapara,Paddy,Rabi,2020,210.9,29.3,15.7,76.8,5.86,0.578,155.7,16.0,195.5,70.1,116.2,51.2,64.0,Medium,0.48,Medium,2267.0
Keonjhar,Maize,Kharif,2022,1481.5,32.0,27.7,82.7,4.5,0.494,104.6,36.9,105.8,43.5,124.0,96.3,26.3,High,3.24,Medium,3330.0
Mayurbhanj,Paddy,Kharif,2022,1486.5,28.8,24.8,79.3,7.89,0.548,113.7,22.8,106.2,45.6,104.8,85.6,45.8,Medium,0.25,Medium,2823.0
Mayurbhanj,Paddy,Kharif,2020,1024.2,32.2,24.9,87.5,7.0,0.663,205.3,39.1,232.8,20.1,108.3,82.9,38.3,Medium,0.81,Low,3556.0
Angul,Paddy,Rabi,2023,204.6,29.4,16.3,66.6,6.69,0.904,125.4,26.5,122.9,31.7,102.3,56.4,48.6,Medium,3.01,Medium,2191.0
Jajpur,Paddy,Kharif,2021,745.2,36.3,27.5,75.7,5.11,0.686,185.2,18.1,210.6,16.1,100.1,73.4,33.4,High,1.01,Medium,2449.0
Angul,Paddy,Kharif,2022,908.3,35.2,25.4,65.4,6.63,0.382,169.4,20.0,137.8,34.0,132.5,67.3,40.0,Low,1.63,Low,2493.0
Balasore,Paddy,Summer,2023,110.1,34.8,28.2,61.9,6.62,0.464,130.9,31.3,157.1,46.3,163.8,62.6,43.1,Medium,0.22,High,2024.0
Baragarh,Paddy,Rabi,2023,152.6,25.0,16.1,66.5,5.8,0.823,181.4,15.1,84.6,39.6,158.1,77.9,40.1,Medium,0.66,Low,1640.0
Angul,Paddy,Kharif,2021,1155.3,34.9,21.4,63.0,6.14,0.64,151.0,28.6,164.1,47.2,89.4,97.2,18.8,Medium,2.08,Low,2606.0
Jajpur,Maize,Kharif,2020,1017.6,25.0,25.8,85.3,5.39,0.335,153.7,13.3,194.1,10.6,149.2,83.8,28.0,Medium,0.67,Low,1765.0
Jajpur,Maize,Kharif,2021,1383.1,31.0,26.2,77.7,7.06,0.792,188.2,22.2,169.8,67.4,121.1,11.6,48.7,High,1.79,Medium,5032.0
Jagatsinghpur,Paddy,Kharif,2022,1061.5,29.1,25.1,72.6,7.47,0.682,257.4,28.5,183.8,67.3,95.8,30.9,40.6,High,2.18,High,5233.0
Kendrapara,Paddy,Kharif,2019,1092.1,33.2,22.6,80.6,6.68,0.742,114.4,50.7,199.9,37.5,149.1,55.1,34.2,High,3.08,Low,2717.0
Kendrapara,Paddy,Summer,2023,104.2,38.1,24.1,57.4,6.63,0.425,169.1,26.3,193.9,55.6,169.5,70.4,41.0,High,0.6,High,3685.0
Jagatsinghpur,Maize,Kharif,2023,1315.8,32.3,21.6,77.6,7.93,0.345,188.3,32.9,105.2,17.8,141.1,48.7,40.0,Medium,1.24,Medium,3145.0
Mayurbhanj,Paddy,Rabi,2022,168.2,27.9,15.0,81.6,6.08,0.654,209.3,26.7,133.0,12.1,107.4,55.5,40.7,High,1.62,Low,2492.0
Ganjam,Paddy,Kharif,2020,1556.3,33.2,24.4,75.0,5.16,0.339,100.4,26.0,141.0,50.0,138.4,44.6,38.8,High,2.36,High,3328.0
Balasore,Paddy,Kharif,2019,1434.6,36.3,22.4,82.3,5.49,0.672,199.2,27.4,140.0,30.2,59.6,41.0,51.1,Medium,0.1,High,3292.0
Jajpur,Paddy,Kharif,2022,933.8,32.1,25.4,81.5,5.58,0.486,172.7,21.3,116.0,52.1,114.5,38.0,44.4,Low,1.15,Low,1987.0
Jagatsinghpur,Paddy,Kharif,2018,1137.3,32.0,22.4,90.2,6.49,0.406,160.6,27.6,141.7,19.3,121.9,78.5,32.8,Low,5.58,Medium,2677.0
Ganjam,Paddy,Kharif,2018,1272.3,31.5,24.4,67.1,4.5,0.49,220.1,26.4,123.8,31.6,104.0,60.7,35.4,Low,0.96,High,3058.0
Cuttack,Paddy,Kharif,2019,675.4,32.1,24.6,84.1,7.71,0.33,223.0,20.4,117.6,48.6,94.7,54.4,36.7,Low,6.88,Medium,1864.0
Keonjhar,Paddy,Kharif,2022,1565.9,33.3,24.3,81.9,6.6,0.454,229.1,20.3,115.7,48.2,97.4,53.4,42.8,Medium,0.33,Medium,3297.0
Jagatsinghpur,Paddy,Kharif,2022,1339.7,32.1,26.9,89.6,6.61,0.683,137.7,24.7,102.9,59.6,127.2,61.3,48.6,High,3.42,High,4097.0
Jagatsinghpur,Paddy,Kharif,2021,939.1,37.3,23.6,64.8,6.94,0.786,136.8,18.6,151.2,2.6,130.7,56.1,34.8,Medium,0.49,Medium,1859.0
Keonjhar,Paddy,Kharif,2019,1523.7,29.6,20.7,80.0,6.88,0.2,195.9,16.0,100.4,36.4,140.9,61.6,39.6,Medium,1.22,Low,2450.0
Mayurbhanj,Paddy,Kharif,2022,1491.5,28.3,24.6,73.3,6.18,0.687,175.4,13.0,153.6,30.9,148.7,71.5,50.9,Medium,1.66,Medium,1749.0
Koraput,Paddy,Summer,2021,109.1,30.2,26.3,62.6,6.06,0.774,90.0,20.9,125.7,36.0,124.3,51.4,33.9,High,3.8,Low,1887.0
Jajpur,Paddy,Rabi,2023,217.4,27.1,15.9,79.7,5.98,0.466,162.3,32.5,186.7,47.0,147.4,83.9,32.3,High,4.18,Low,3456.0
Kendrapara,Paddy,Kharif,2021,1289.4,33.9,21.1,79.3,5.65,0.476,207.0,13.1,178.9,30.0,89.8,92.2,20.3,Medium,1.22,Medium,1507.0
Dhenkanal,Maize,Kharif,2020,1453.8,31.7,26.6,83.3,6.38,0.436,230.6,15.4,118.4,53.5,153.2,52.1,56.8,Low,1.59,Low,2407.0
Sambalpur,Maize,Kharif,2019,1634.3,30.9,26.4,77.2,5.71,0.49,126.9,19.7,200.7,73.8,131.0,63.5,34.6,Low,8.14,Low,3638.0
Sambalpur,Paddy,Kharif,2020,1350.0,31.9,22.0,72.3,6.1,0.648,183.5,31.5,126.4,29.1,50.8,52.5,32.9,Medium,1.23,Medium,3044.0
Kendrapara,Paddy,Rabi,2023,149.3,25.0,16.5,70.8,6.69,0.492,181.7,38.6,186.1,46.0,86.4,62.2,44.7,Medium,1.22,Low,2818.0
Angul,Paddy,Kharif,2018,1194.0,32.3,25.1,82.5,5.02,0.418,159.1,29.9,188.7,27.1,151.0,66.0,30.2,Medium,0.69,Medium,3273.0
Ganjam,Paddy,Kharif,2019,1185.5,33.6,25.1,80.9,6.91,0.225,191.1,33.1,163.8,12.1,130.6,47.9,38.6,Medium,4.15,High,3430.0
Sambalpur,Paddy,Kharif,2019,1045.1,32.8,28.0,74.2,7.09,0.334,304.2,29.8,91.0,35.4,73.2,66.0,39.2,High,1.79,Medium,2421.0
Mayurbhanj,Paddy,Kharif,2020,1136.8,28.4,17.5,81.8,5.17,0.403,196.0,14.0,97.6,70.6,69.9,63.9,36.9,Medium,0.45,Low,1672.0
Cuttack,Paddy,Rabi,2018,237.9,25.0,18.3,66.4,5.72,0.231,178.3,32.3,172.1,45.2,134.2,77.6,56.1,Low,4.96,Medium,2507.0
Mayurbhanj,Paddy,Kharif,2021,960.1,42.4,23.1,76.3,7.05,0.384,122.3,31.3,177.9,29.1,120.6,58.5,35.1,Medium,1.44,Medium,1955.0
Cuttack,Maize,Summer,2019,98.1,41.8,26.1,48.2,6.01,0.758,182.8,30.9,154.0,14.1,114.8,72.3,42.3,Medium,3.39,Low,1968.0
